default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,1,2,9,9.24318,0.0891,5046.297735849057,0.29464999999999997,5752.5,1.16,1.1,4.35,844.061
0,1,2,9,9.24285,0.0901,5117.660188679245,0.575,5880.0,1.02,1.14,4.3,844.061
1,1,2,9,9.24285,0.09,5189.022641509434,0.59,5880.0,1.02,1.14,4.25,844.061
0,1,2,9,9.24285,0.0902,5260.385094339623,0.562,5880.0,1.02,1.14,4.2,844.061
0,1,2,9,9.24285,0.0892,5331.747547169811,0.581,5880.0,1.34,1.11,4.23,844.061
1,1,2,8,1675.0,2.9,5403.11,0.6,6040.0,1.645,1.14,3.9650000000000003,844.061
1,1,1,9,2.72474,0.0417,5374.216363636363,0.0,6200.0,1.95,1.29,3.7,771.76
0,1,1,9,2.72474,0.0416,5345.322727272727,0.39,6200.0,1.95,1.29,4.03,699.4590000000001
1,1,1,9,9.755980000000001,0.092,5316.4290909090905,0.077,5939.0,1.14,1.1,4.36,627.158
0,1,1,9,3.6313,0.04809,5287.535454545454,0.1185,5900.0,1.74,1.12,4.01,1060.97
1,1,1,9,3.6313,0.048,5258.641818181818,0.16,5900.0,1.61,1.14,4.3,1060.97
0,1,1,9,3.6313,0.0484,5229.748181818181,0.16,5900.0,1.61,1.14,4.425,1060.97
1,1,2,9,5.1134,0.055999999999999994,5200.854545454546,0.0,4950.0,0.86,0.91,4.55,591.555
1,1,2,9,11.759,0.098,5171.960909090909,0.0,4950.0,0.86,0.91,4.55,591.555
0,1,1,9,4.86069,0.05789,5143.067272727272,0.22,6040.0,1.19,1.09,4.43,1103.48
1,1,1,9,4.86069,0.0578,5114.173636363636,0.0,6040.0,1.19,1.09,4.31,1103.48
0,1,1,9,4.20474,0.0525,5085.28,0.41,5590.0,1.79,1.09,4.15,1045.18
1,1,1,9,4.20474,0.0526,5056.386363636363,0.0,5590.0,1.79,1.09,3.99,1045.18
0,1,1,9,3.5753199999999996,0.0467,5027.492727272727,0.034,5900.0,1.08,1.05,4.195,1010.28
1,1,1,9,3.5753199999999996,0.0476,4998.599090909091,0.065,5900.0,1.08,1.05,4.4,1010.28
